127.0.0.1, 2015-03-07 10:54:31, GET, /, HTTP/1.1, 303, 0.001983
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.193232
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000393
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000397
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000410
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000346
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000301
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000543
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000387
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000732
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001031
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000298
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000395
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000483
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000345
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000302
127.0.0.1, 2015-03-07 10:54:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000372
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/default/index, HTTP/1.1, 200, 0.116169
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.001086
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.001081
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.000416
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.000792
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000298
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000319
127.0.0.1, 2015-03-07 10:54:33, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.000309
